t_ns,x,y,yaw,n_matched,inlier_frac,rmse_m,quality
1784885672380167516,2.4274457505601927,0.09096609691439739,0.08379809693384108,222,1.0,0.00574,good
1784885672500172318,2.4284552375509283,0.08768534084673868,0.07599811922337646,224,1.0,0.00988,good
1784885672620172047,2.428212863514548,0.08782519998028927,0.07699156776082854,223,1.0,0.00915,good
1784885672740191291,2.4262468514537243,0.09039849250552458,0.07359557765357368,223,1.0,0.00839,good
1784885672851623901,2.4272622088234983,0.09135383345918593,0.07759654794279645,221,1.0,0.00619,good
1784885672970152094,2.428842621992299,0.0910932837628805,0.08143404909518012,224,1.0,0.00742,good
1784885673090153620,2.4287763792204395,0.0908688522751522,0.08063556381857932,220,1.0,0.00929,good
1784885673210169929,2.4304627314865366,0.09038454419215161,0.07499778080390278,224,0.9955,0.00866,good
1784885673320165246,2.431489751893925,0.09133577150213064,0.07813299892861053,221,1.0,0.01051,good
1784885673440200867,2.4316493571182596,0.09057887496714234,0.07586299668486328,215,0.9953,0.01055,good
1784885673560174719,2.430596348905264,0.0896072932496645,0.07369803313024942,216,1.0,0.00984,good
1784885673680190010,2.431555273156772,0.09048553912822085,0.0771504757949235,225,1.0,0.01208,good
1784885673790157479,2.4333077224520627,0.08922686391974227,0.08602106447134442,219,1.0,0.00867,good
1784885673910209820,2.4322650515266226,0.09013018061468113,0.084680459743505,220,1.0,0.00615,good
1784885674030156107,2.4315674663104816,0.08560139767506235,0.07714109508981734,224,1.0,0.00927,good
1784885674150221936,2.4311272782084012,0.08654707231880922,0.07672409944952158,222,1.0,0.01061,good
1784885674270156782,2.4314076283406614,0.08603543125333218,0.0804878123785177,223,1.0,0.00714,good
1784885674390585708,2.43032512814225,0.08776999579900112,0.0797026284451559,222,1.0,0.00942,good
1784885674500155072,2.4295309533813287,0.09015915554692862,0.08018647019102325,226,1.0,0.01029,good
1784885674620174999,2.4293781519455195,0.091986532187157,0.08041914836478645,212,1.0,0.00863,good
1784885674740148896,2.4281307065680213,0.09281596942454205,0.07887300821322567,223,1.0,0.0082,good
1784885674850173103,2.4267050864837088,0.09289000382652664,0.08349447250506725,227,0.9956,0.009,good
1784885674970168034,2.4249491328733184,0.091031723663079,0.08417079588328882,218,1.0,0.00655,good
1784885675090151707,2.4259880638671536,0.08910510734706927,0.07577686621050611,216,1.0,0.00957,good
1784885675210198508,2.427149609489407,0.09035231721885215,0.080096454067184,228,0.9956,0.0065,good
1784885675330153619,2.42730320228821,0.0901590220636548,0.08527649628700851,229,1.0,0.00945,good
1784885675450134003,2.427683463710309,0.08803721287496852,0.07559204101690241,231,0.9957,0.00848,good
1784885675560170065,2.4270002076708033,0.08744986816753558,0.073896833862947,222,1.0,0.01005,good
1784885675680247566,2.4254122631205917,0.08734683956406132,0.07414345103218233,227,0.9956,0.01058,good
1784885675800216859,2.4261309659979164,0.08712515392919556,0.07371720030940804,216,0.9954,0.01083,good
1784885675920163656,2.426601298588368,0.08757318026077804,0.06945642444001279,213,1.0,0.01185,good
