t_ns,t_bag_ns,n_beams,n_finite,angle_min,angle_max,angle_increment_raw,time_increment_s,scan_time_s
1784885672380167516,1784885672380724642,271,223,0.01382141187787056,6.27343225479126,0.023174917325377464,0.00043641970842145383,0.11787819117307663
1784885672500172318,1784885672500560746,269,226,0.010848918929696083,6.270467281341553,0.023281155154109,0.0004364191845525056,0.11734028905630112
1784885672620172047,1784885672620759335,269,224,0.002289123134687543,6.26192569732666,0.02331150881946087,0.0004364179039839655,0.1171875
1784885672740191291,1784885672740717070,269,225,0.008928781375288963,6.268378257751465,0.023288743570446968,0.0004364309133961797,0.1173020526766777
1784885672851623901,1784885672852593210,269,222,0.0038734476547688246,6.2633185386657715,0.023319097235798836,0.0004364312335383147,0.11714936792850494
1784885672970152094,1784885672970499638,269,226,2.6404031814308837e-05,6.2593159675598145,0.023319097235798836,0.00043644208926707506,0.11714936792850494
1784885673090153620,1784885673090576728,269,221,0.020795315504074097,6.2802276611328125,0.023326685652136803,0.00043643213575705886,0.11711125820875168
1784885673210169929,1784885673210600721,269,226,0.023424671962857246,6.282857418060303,0.02331150881946087,0.00043643213575705886,0.1171875
1784885673320165246,1784885673320641939,269,222,0.01905718259513378,6.278501033782959,0.023303920403122902,0.0004364313499536365,0.11722566187381744
1784885673440200867,1784885673440572278,269,216,0.016963405534625053,6.275353908538818,0.023303920403122902,0.00043650477891787887,0.11722566187381744
1784885673560174719,1784885673560637784,269,219,0.009450790472328663,6.269075870513916,0.023319097235798836,0.0004364187188912183,0.11714936792850494
1784885673680190010,1784885673680739544,269,226,0.022024473175406456,6.28145694732666,0.023341862484812737,0.00043643213575705886,0.11703511327505112
1784885673790157479,1784885673790600343,269,220,0.00490544131025672,6.264354705810547,0.023349450901150703,0.0004364309716038406,0.11699707806110382
1784885673910209820,1784885673919535909,270,222,0.005789406131953001,6.265230655670166,0.023265978321433067,0.0004364314954727888,0.11741682887077332
1784885674030156107,1784885674030570161,269,225,0.016960790380835533,6.276401042938232,0.023281155154109,0.0004364315536804497,0.11734028905630112
1784885674150221936,1784885674151544733,270,223,0.01416508387774229,6.273606777191162,0.023220447823405266,0.00043643146636895835,0.11764705926179886
1784885674270156782,1784885674270534804,270,224,0.022371796891093254,6.281982421875,0.023250801488757133,0.00043641970842145383,0.11749347299337387
1784885674390585708,1784885674391821240,269,223,0.003337850095704198,6.262965679168701,0.02333427406847477,0.0004364185151644051,0.1170731708407402
1784885674500155072,1784885674500553905,269,227,0.008581994101405144,6.2682108879089355,0.023319097235798836,0.00043641842785291374,0.11714936792850494
1784885674620174999,1784885674620632436,270,213,0.007695920765399933,6.267152786254883,0.0232583899050951,0.0004364304186310619,0.1174551397562027
1784885674740148896,1784885674740498921,270,225,0.013992467895150185,6.27343225479126,0.023228036239743233,0.00043643161188811064,0.11760862171649933
1784885674850173103,1784885674850572029,271,227,0.004038224928081036,6.26348876953125,0.023152152076363564,0.0004364308842923492,0.11799409985542297
1784885674970168034,1784885674970635543,271,220,0.005789406131953001,6.263661861419678,0.023144563660025597,0.00043654092587530613,0.1180327832698822
1784885675090151707,1784885675090576704,270,217,0.010664789006114006,6.270290851593018,0.023205270990729332,0.00043641863157972693,0.11772400140762329
1784885675210198508,1784885675210553978,270,229,0.014513957314193249,6.274130821228027,0.0232356246560812,0.000436419271863997,0.11757021397352219
