t_ns,t_bag_ns,mx,my,mz
1784885672291882008,1784885672296991351,0.0,0.0,0.0
1784885672341931243,1784885672349901871,0.0,0.0,0.0
1784885672391838924,1784885672396579040,0.0,0.0,0.0
1784885672441943799,1784885672452617476,0.0,0.0,0.0
1784885672491884198,1784885672494473818,0.0,0.0,0.0
1784885672541817875,1784885672544667106,0.0,0.0,0.0
1784885672591931138,1784885672598210317,0.0,0.0,0.0
1784885672641806027,1784885672643519602,0.0,0.0,0.0
1784885672691792215,1784885672701484658,0.0,0.0,0.0
1784885672741848634,1784885672746463286,0.0,0.0,0.0
1784885672791806789,1784885672793563710,0.0,0.0,0.0
1784885672841778553,1784885672847872517,0.0,0.0,0.0
1784885672891811217,1784885672894564258,0.0,0.0,0.0
1784885672941770705,1784885672949694969,0.0,0.0,0.0
1784885672992135470,1784885672995501389,0.0,0.0,0.0
1784885673041783566,1784885673053731474,0.0,0.0,0.0
1784885673091731604,1784885673094665325,0.0,0.0,0.0
1784885673141732801,1784885673145878557,0.0,0.0,0.0
1784885673191704151,1784885673198606374,0.0,0.0,0.0
1784885673241779820,1784885673245653817,0.0,0.0,0.0
1784885673291748096,1784885673301442670,0.0,0.0,0.0
1784885673341702078,1784885673343660360,0.0,0.0,0.0
1784885673391722606,1784885673394591391,0.0,0.0,0.0
1784885673441711657,1784885673447485667,0.0,0.0,0.0
1784885673491675119,1784885673497150596,0.0,0.0,0.0
1784885673541760656,1784885673550663063,0.0,0.0,0.0
1784885673591710027,1784885673594620511,0.0,0.0,0.0
1784885673641649289,1784885673653651561,0.0,0.0,0.0
1784885673691633341,1784885673695700477,0.0,0.0,0.0
1784885673741621003,1784885673743655423,0.0,0.0,0.0
1784885673791646790,1784885673798468283,0.0,0.0,0.0
1784885673841697906,1784885673846163617,0.0,0.0,0.0
1784885673891757836,1784885673902533501,0.0,0.0,0.0
1784885673941664028,1784885673944795221,0.0,0.0,0.0
1784885673991752491,1784885673994827803,0.0,0.0,0.0
1784885674041629325,1784885674047665504,0.0,0.0,0.0
1784885674091601908,1784885674093687248,0.0,0.0,0.0
1784885674141754707,1784885674151489333,0.0,0.0,0.0
1784885674191628618,1784885674195416535,0.0,0.0,0.0
1784885674241563058,1784885674254508923,0.0,0.0,0.0
1784885674291554582,1784885674295789752,0.0,0.0,0.0
1784885674341616171,1784885674345603468,0.0,0.0,0.0
1784885674392402011,1784885674400001694,0.0,0.0,0.0
1784885674441534526,1784885674443463757,0.0,0.0,0.0
1784885674491576358,1784885674503527788,0.0,0.0,0.0
1784885674541536239,1784885674544998368,0.0,0.0,0.0
1784885674591564925,1784885674594778774,0.0,0.0,0.0
1784885674641608998,1784885674647862461,0.0,0.0,0.0
1784885674691576415,1784885674693480946,0.0,0.0,0.0
1784885674741549516,1784885674751824956,0.0,0.0,0.0
1784885674791491547,1784885674796772238,0.0,0.0,0.0
1784885674841509161,1784885674843830727,0.0,0.0,0.0
1784885674891551345,1784885674897320431,0.0,0.0,0.0
1784885674941492228,1784885674944825357,0.0,0.0,0.0
1784885674991474143,1784885675000502813,0.0,0.0,0.0
1784885675041442013,1784885675043811461,0.0,0.0,0.0
1784885675091518684,1784885675103435010,0.0,0.0,0.0
1784885675141478983,1784885675144710663,0.0,0.0,0.0
1784885675191507013,1784885675193494107,0.0,0.0,0.0
1784885675241483106,1784885675248929571,0.0,0.0,0.0
1784885675292187875,1784885675294420454,0.0,0.0,0.0
1784885675341399760,1784885675351856084,0.0,0.0,0.0
1784885675391583231,1784885675393583416,0.0,0.0,0.0
1784885675441450395,1784885675444147983,0.0,0.0,0.0
1784885675491582151,1784885675496469046,0.0,0.0,0.0
1784885675541452370,1784885675546663090,0.0,0.0,0.0
1784885675591400170,1784885675600526606,0.0,0.0,0.0
1784885675641453234,1784885675644898829,0.0,0.0,0.0
1784885675691508853,1784885675704850203,0.0,0.0,0.0
1784885675741414344,1784885675745851543,0.0,0.0,0.0
1784885675791397233,1784885675793625479,0.0,0.0,0.0
1784885675841342663,1784885675848829438,0.0,0.0,0.0
1784885675891365509,1784885675896376239,0.0,0.0,0.0
1784885675941381041,1784885675952723872,0.0,0.0,0.0
1784885675991432179,1784885675994011746,0.0,0.0,0.0
1784885676041310478,1784885676045136799,0.0,0.0,0.0
1784885676091353035,1784885676099136529,0.0,0.0,0.0
1784885676141365281,1784885676143875341,0.0,0.0,0.0
1784885676191369288,1784885676200459694,0.0,0.0,0.0
1784885676241341744,1784885676244727681,0.0,0.0,0.0
1784885676291343603,1784885676292525494,0.0,0.0,0.0
1784885676341273286,1784885676345868889,0.0,0.0,0.0
1784885676391612247,1784885676394513659,0.0,0.0,0.0
1784885676441325608,1784885676449734534,0.0,0.0,0.0
1784885676491553547,1784885676495876447,0.0,0.0,0.0
1784885676541268075,1784885676552688732,0.0,0.0,0.0
1784885676591254325,1784885676595116289,0.0,0.0,0.0
1784885676641242112,1784885676645881987,0.0,0.0,0.0
1784885676691249044,1784885676697489253,0.0,0.0,0.0
1784885676741297841,1784885676743937734,0.0,0.0,0.0
1784885676791258058,1784885676801506987,0.0,0.0,0.0
1784885676841225069,1784885676844822700,0.0,0.0,0.0
1784885676891248851,1784885676892502381,0.0,0.0,0.0
1784885676941291464,1784885676945915841,0.0,0.0,0.0
1784885676991226073,1784885676994719069,0.0,0.0,0.0
1784885677041222255,1784885677049767534,0.0,0.0,0.0
1784885677091185592,1784885677093434354,0.0,0.0,0.0
1784885677141173055,1784885677152787168,0.0,0.0,0.0
1784885677191162092,1784885677196624632,0.0,0.0,0.0
1784885677241164535,1784885677244637239,0.0,0.0,0.0
1784885677291173422,1784885677297537484,0.0,0.0,0.0
1784885677341228339,1784885677344636367,0.0,0.0,0.0
1784885677391125389,1784885677401543427,0.0,0.0,0.0
1784885677441135553,1784885677442899642,0.0,0.0,0.0
1784885677491139088,1784885677494035131,0.0,0.0,0.0
1784885677541185784,1784885677547014347,0.0,0.0,0.0
1784885677591136678,1784885677594532541,0.0,0.0,0.0
1784885677641090239,1784885677649755335,0.0,0.0,0.0
1784885677691793048,1784885677696028572,0.0,0.0,0.0
1784885677741128342,1784885677753934013,0.0,0.0,0.0
1784885677791108177,1784885677795738091,0.0,0.0,0.0
1784885677841060053,1784885677844822606,0.0,0.0,0.0
1784885677891067976,1784885677897482366,0.0,0.0,0.0
1784885677941099193,1784885677943818650,0.0,0.0,0.0
1784885677991097229,1784885678001417485,0.0,0.0,0.0
1784885678041050853,1784885678042512873,0.0,0.0,0.0
1784885678091050157,1784885678093601916,0.0,0.0,0.0
1784885678141131173,1784885678146858696,0.0,0.0,0.0
1784885678191379110,1784885678194513991,0.0,0.0,0.0
1784885678241088400,1784885678249655011,0.0,0.0,0.0
1784885678291004327,1784885678295493262,0.0,0.0,0.0
1784885678340995096,1784885678352691200,0.0,0.0,0.0
1784885678390979236,1784885678394532948,0.0,0.0,0.0
1784885678440989336,1784885678442852485,0.0,0.0,0.0
1784885678491013341,1784885678497469781,0.0,0.0,0.0
1784885678540981909,1784885678543900950,0.0,0.0,0.0
1784885678590987583,1784885678601503851,0.0,0.0,0.0
