t_ns,t_bag_ns,wx,wy,wz,ax,ay,az,qx,qy,qz,qw
1789550083548607838,1789550083553384934,0.0,-0.0063852001912891865,0.0,0.13407529890537262,-0.18974047899246216,10.023324966430664,-0.013562311418354511,-0.0018459213897585869,-0.31772559881210327,0.9480794668197632
1789550083565367406,1789550083570289594,0.0,0.0,0.0,0.1430535465478897,-0.20290859043598175,10.007762908935547,-0.012903671711683273,-0.00113398814573884,-0.3177201449871063,0.9480915665626526
1789550083570433093,1789550083575852499,0.0,0.0,0.0,0.1430535465478897,-0.20290859043598175,10.007762908935547,-0.012903671711683273,-0.00113398814573884,-0.3177201449871063,0.9480915665626526
1789550083575382132,1789550083585535598,0.0,-0.0063852001912891865,0.0,0.08080430328845978,-0.20769698917865753,9.934141159057617,-0.012548339553177357,-0.002069769660010934,-0.31773218512535095,0.948090672492981
1789550083587584713,1789550083588990241,0.0,-0.0063852001912891865,0.0,0.08080430328845978,-0.20769698917865753,9.934141159057617,-0.012548339553177357,-0.002069769660010934,-0.31773218512535095,0.948090672492981
1789550083592390421,1789550083594982051,0.0,-0.0063852001912891865,0.0,0.08080430328845978,-0.20769698917865753,9.934141159057617,-0.012548339553177357,-0.002069769660010934,-0.31773218512535095,0.948090672492981
1789550083597295016,1789550083605991825,0.0,-0.005320999771356583,0.0,0.08559270948171616,-0.25258827209472656,9.928753852844238,-0.013375409878790379,-0.00018655796884559095,-0.31770437955856323,0.9480908513069153
1789550083606661339,1789550083609986760,0.0,-0.005320999771356583,0.0,0.08559270948171616,-0.25258827209472656,9.928753852844238,-0.013375409878790379,-0.00018655796884559095,-0.31770437955856323,0.9480908513069153
1789550083611186085,1789550083615204409,0.0,-0.005320999771356583,0.0,0.08559270948171616,-0.25258827209472656,9.928753852844238,-0.013375409878790379,-0.00018655796884559095,-0.31770437955856323,0.9480908513069153
1789550083616526900,1789550083626055296,0.0,-0.007449400145560503,0.0,0.05626373738050461,-0.22325929999351501,10.062231063842773,-0.012419112958014011,-0.0008981911232694983,-0.31771668791770935,0.9480994343757629
1789550083627341731,1789550083629091682,0.0,-0.007449400145560503,0.0,0.05626373738050461,-0.22325929999351501,10.062231063842773,-0.012419112958014011,-0.0008981911232694983,-0.31771668791770935,0.9480994343757629
1789550083632304345,1789550083636111818,0.0,-0.007449400145560503,0.0,0.05626373738050461,-0.22325929999351501,10.062231063842773,-0.012419112958014011,-0.0008981911232694983,-0.31771668791770935,0.9480994343757629
1789550083638896576,1789550083647055890,0.0,-0.005320999771356583,0.0,0.13407529890537262,-0.20530278980731964,9.911994934082031,-0.012854957021772861,-0.002420068020001054,-0.3177313506603241,0.9480859041213989
1789550083650220256,1789550083653070570,0.0,-0.005320999771356583,0.0,0.13407529890537262,-0.20530278980731964,9.911994934082031,-0.012854957021772861,-0.002420068020001054,-0.3177313506603241,0.9480859041213989
1789550083654250654,1789550083657137375,0.0,-0.005320999771356583,0.0,0.13407529890537262,-0.20530278980731964,9.911994934082031,-0.012854957021772861,-0.002420068020001054,-0.3177313506603241,0.9480859041213989
1789550083658448421,1789550083668198131,0.0,-0.005320999771356583,0.0,0.10953472554683685,-0.2537853717803955,9.945513725280762,-0.014025820419192314,-0.0023512402549386024,-0.3177216947078705,0.9480728507041931
1789550083669867712,1789550083673086133,0.0,-0.005320999771356583,0.0,0.10953472554683685,-0.2537853717803955,9.945513725280762,-0.014025820419192314,-0.0023512402549386024,-0.3177216947078705,0.9480728507041931
1789550083674303551,1789550083678404596,0.0,-0.005320999771356583,0.0,0.10953472554683685,-0.2537853717803955,9.945513725280762,-0.014025820419192314,-0.0023512402549386024,-0.3177216947078705,0.9480728507041931
1789550083689248187,1789550083692048519,0.0,-0.0063852001912891865,0.0,0.16579847037792206,-0.17537526786327362,10.005967140197754,-0.01248137466609478,-0.0023298817686736584,-0.31772905588150024,0.948091983795166
1789550083694368429,1789550083697161354,0.0,-0.0063852001912891865,0.0,0.16579847037792206,-0.17537526786327362,10.005967140197754,-0.01248137466609478,-0.0023298817686736584,-0.31772905588150024,0.948091983795166
1789550083697404371,1789550083710431076,0.0,-0.005320999771356583,0.0,0.10295066982507706,-0.2388216108083725,9.945513725280762,-0.013537785038352013,-0.001326688565313816,-0.3177107572555542,0.9480855464935303
1789550083711286847,1789550083715135487,0.0,-0.005320999771356583,0.0,0.10295066982507706,-0.2388216108083725,9.945513725280762,-0.013537785038352013,-0.001326688565313816,-0.3177107572555542,0.9480855464935303
1789550083716391164,1789550083719675381,0.0,-0.005320999771356583,0.0,0.10295066982507706,-0.2388216108083725,9.945513725280762,-0.013537785038352013,-0.001326688565313816,-0.3177107572555542,0.9480855464935303
1789550083720606041,1789550083731098894,0.0,-0.0063852001912891865,0.0,0.12210428714752197,-0.243011474609375,10.035296440124512,-0.012999413534998894,-0.0019638228695839643,-0.3177196681499481,0.9480891227722168
1789550083732133887,1789550083737398554,0.0,-0.0063852001912891865,0.0,0.12210428714752197,-0.243011474609375,10.035296440124512,-0.012999413534998894,-0.0019638228695839643,-0.3177196681499481,0.9480891227722168
1789550083738293807,1789550083740190812,0.0,-0.0063852001912891865,0.0,0.12210428714752197,-0.243011474609375,10.035296440124512,-0.012999413534998894,-0.0019638228695839643,-0.3177196681499481,0.9480891227722168
1789550083752225709,1789550083754088085,0.0,-0.0063852001912891865,0.0,0.104147769510746,-0.2322375625371933,9.86111831665039,-0.012843240983784199,-0.0013056591851636767,-0.3177112936973572,0.9480951428413391
1789550083757367766,1789550083760092821,0.0,-0.0063852001912891865,0.0,0.104147769510746,-0.2322375625371933,9.86111831665039,-0.012843240983784199,-0.0013056591851636767,-0.3177112936973572,0.9480951428413391
1789550083762320509,1789550083773392672,0.0,-0.005320999771356583,0.0,0.052073884755373,-0.21547815203666687,9.927556991577148,-0.012474755756556988,-0.002118358388543129,-0.3177218437194824,0.9480949640274048
1789550083774281314,1789550083777542643,0.0,-0.005320999771356583,0.0,0.052073884755373,-0.21547815203666687,9.927556991577148,-0.012474755756556988,-0.002118358388543129,-0.3177218437194824,0.9480949640274048
1789550083780460011,1789550083782372183,0.0,-0.005320999771356583,0.0,0.052073884755373,-0.21547815203666687,9.927556991577148,-0.012474755756556988,-0.002118358388543129,-0.3177218437194824,0.9480949640274048
1789550083783319843,1789550083796157327,0.0,-0.0063852001912891865,0.0,0.10474631935358047,-0.2759317457675934,9.976638793945312,-0.013997474685311317,-0.0022485670633614063,-0.3177114725112915,0.9480769038200378
1789550083796187568,1789550083801015516,0.0,-0.0063852001912891865,0.0,0.10474631935358047,-0.2759317457675934,9.976638793945312,-0.013997474685311317,-0.0022485670633614063,-0.3177114725112915,0.9480769038200378
1789550083803572683,1789550083815639247,0.0,-0.0063852001912891865,0.0,0.03950432687997818,-0.2513911724090576,9.935338020324707,-0.012664594687521458,-0.0019915932789444923,-0.3177160322666168,0.9480947256088257
1789550083817117162,1789550083822424736,0.0,-0.0063852001912891865,0.0,0.03950432687997818,-0.2513911724090576,9.935338020324707,-0.012664594687521458,-0.0019915932789444923,-0.3177160322666168,0.9480947256088257
1789550083822360514,1789550083826863112,0.0,-0.0063852001912891865,0.0,0.03950432687997818,-0.2513911724090576,9.935338020324707,-0.012664594687521458,-0.0019915932789444923,-0.3177160322666168,0.9480947256088257
1789550083827658514,1789550083836984856,0.0,-0.007449400145560503,0.0,0.12330138683319092,-0.1759738177061081,9.916783332824707,-0.010787593200802803,-0.0028012976981699467,-0.31773367524147034,0.9481099247932434
1789550083836539619,1789550083840464851,0.0,-0.007449400145560503,0.0,0.12330138683319092,-0.1759738177061081,9.916783332824707,-0.010787593200802803,-0.0028012976981699467,-0.31773367524147034,0.9481099247932434
1789550083842205857,1789550083845289687,0.0,-0.007449400145560503,0.0,0.12330138683319092,-0.1759738177061081,9.916783332824707,-0.010787593200802803,-0.0028012976981699467,-0.31773367524147034,0.9481099247932434
1789550083856581682,1789550083864616607,0.0,-0.0063852001912891865,0.0,0.07900865375995636,-0.2472013235092163,9.782708168029785,-0.01142118126153946,-0.0010784941259771585,-0.31771257519721985,0.9481130838394165
1789550083862013478,1789550083871160728,0.0,-0.0063852001912891865,0.0,0.07900865375995636,-0.2472013235092163,9.782708168029785,-0.01142118126153946,-0.0010784941259771585,-0.31771257519721985,0.9481130838394165
1789550083870638306,1789550083885679645,0.0,-0.005320999771356583,0.0,0.10893617570400238,-0.1825578808784485,9.913191795349121,-0.011328449472784996,-0.002364006359130144,-0.3177257776260376,0.9481074213981628
1789550083882656926,1789550083891418346,0.0,-0.005320999771356583,0.0,0.10893617570400238,-0.1825578808784485,9.913191795349121,-0.011328449472784996,-0.002364006359130144,-0.3177257776260376,0.9481074213981628
1789550083900871317,1789550083903885036,0.0,-0.007449400145560503,0.0,0.11611878126859665,-0.22625206410884857,9.877877235412598,-0.012622129172086716,-0.0018303240649402142,-0.3177119493484497,0.9480969309806824
