t_ns,t_bag_ns,left_wheel_rad,right_wheel_rad,left_wheel_vel,right_wheel_vel
1789550083534283624,1789550083550078698,274.619414544,426.458989848,0.0,0.0
1789550083548607838,1789550083555775251,274.619414544,426.458989848,0.0,0.0
1789550083565367406,1789550083571774343,274.619414544,426.458989848,0.0,0.0
1789550083570433093,1789550083575837351,274.619414544,426.458989848,0.0,0.0
1789550083575382132,1789550083585677560,274.619414544,426.458989848,0.0,0.0
1789550083587584713,1789550083590012196,274.619414544,426.458989848,0.0,0.0
1789550083592390421,1789550083594934106,274.619414544,426.458989848,0.0,0.0
1789550083597295016,1789550083606591636,274.619414544,426.458989848,0.0,0.0
1789550083606661339,1789550083610414128,274.620948525,426.458989848,0.0,0.0
1789550083611186085,1789550083616156569,274.620948525,426.458989848,0.0,0.0
1789550083616526900,1789550083626469052,274.620948525,426.458989848,0.0,0.0
1789550083627341731,1789550083630499302,274.619414544,426.458989848,0.0,0.0
1789550083632304345,1789550083639208241,274.619414544,426.458989848,0.0,0.0
1789550083638896576,1789550083648120364,274.619414544,426.458989848,0.0,0.0
1789550083650220256,1789550083653742139,274.620948525,426.458989848,0.0,0.0
1789550083654250654,1789550083657348744,274.620948525,426.458989848,0.0,0.0
1789550083658448421,1789550083668492443,274.620948525,426.458989848,0.0,0.0
1789550083669867712,1789550083674528086,274.619414544,426.458989848,0.0,0.0
1789550083674303551,1789550083678603836,274.619414544,426.458989848,0.0,0.0
1789550083689248187,1789550083693428435,274.619414544,426.458989848,0.0,0.0
1789550083694368429,1789550083697089910,274.620948525,426.458989848,0.0,0.0
1789550083697404371,1789550083710395780,274.620948525,426.458989848,0.0,0.0
1789550083711286847,1789550083715587854,274.619414544,426.458989848,0.0,0.0
1789550083716391164,1789550083720146656,274.619414544,426.458989848,0.0,0.0
1789550083720606041,1789550083731578039,274.619414544,426.458989848,0.0,0.0
1789550083732133887,1789550083737557701,274.619414544,426.458989848,0.0,0.0
1789550083738293807,1789550083741160842,274.619414544,426.458989848,0.0,0.0
1789550083752225709,1789550083755164096,274.619414544,426.458989848,0.0,0.0
1789550083757367766,1789550083760337078,274.619414544,426.458989848,0.0,0.0
1789550083762320509,1789550083774227888,274.619414544,426.458989848,0.0,0.0
1789550083774281314,1789550083778129898,274.619414544,426.458989848,0.0,0.0
1789550083780460011,1789550083782539645,274.619414544,426.458989848,0.0,0.0
1789550083783319843,1789550083796138365,274.619414544,426.458989848,0.0,0.0
1789550083796187568,1789550083800998460,274.620948525,426.458989848,0.0,0.0
1789550083803572683,1789550083822405958,274.620948525,426.458989848,0.0,0.0
