t_ns,t_bag_ns,left_pos_rad,right_pos_rad,left_vel_radps,right_vel_radps
1784885672291882008,1784885672296971983,73.681709373,73.655631696,0.0,0.0
1784885672341931243,1784885672351682956,73.681709373,73.655631696,0.0,0.0
1784885672391838924,1784885672396698320,73.681709373,73.655631696,0.0,0.0
1784885672441943799,1784885672452952151,73.681709373,73.655631696,0.0,0.0
1784885672491884198,1784885672495410113,73.683243354,73.655631696,0.0,0.0
1784885672541817875,1784885672544787016,73.681709373,73.655631696,0.0,0.0
1784885672591931138,1784885672598191838,73.681709373,73.655631696,0.0,0.0
1784885672641806027,1784885672644014459,73.681709373,73.655631696,0.0,0.0
1784885672691792215,1784885672701572146,73.681709373,73.655631696,0.0,0.0
1784885672741848634,1784885672747890550,73.681709373,73.655631696,0.0,0.0
1784885672791806789,1784885672794188086,73.681709373,73.655631696,0.0,0.0
1784885672841778553,1784885672848043475,73.681709373,73.655631696,0.0,0.0
1784885672891811217,1784885672894661448,73.681709373,73.655631696,0.0,0.0
1784885672941770705,1784885672949939231,73.681709373,73.655631696,0.0,0.0
1784885672992135470,1784885672995594450,73.681709373,73.655631696,0.0,0.0
1784885673041783566,1784885673053876380,73.681709373,73.655631696,0.0,0.0
1784885673091731604,1784885673094885109,73.681709373,73.655631696,0.0,0.0
1784885673141732801,1784885673146198401,73.681709373,73.655631696,0.0,0.0
1784885673191704151,1784885673198714396,73.683243354,73.655631696,0.0,0.0
1784885673241779820,1784885673245604546,73.681709373,73.655631696,0.0,0.0
1784885673291748096,1784885673301551563,73.681709373,73.655631696,0.0,0.0
1784885673341702078,1784885673343791175,73.681709373,73.655631696,0.0,0.0
1784885673391722606,1784885673395719845,73.683243354,73.655631696,0.0,0.0
1784885673441711657,1784885673447450135,73.681709373,73.655631696,0.0,0.0
1784885673491675119,1784885673497364085,73.681709373,73.655631696,0.0,0.0
1784885673541760656,1784885673550807247,73.683243354,73.655631696,0.0,0.0
1784885673591710027,1784885673594714775,73.683243354,73.655631696,0.0,0.0
1784885673641649289,1784885673654477001,73.681709373,73.655631696,0.0,0.0
1784885673691633341,1784885673695912800,73.681709373,73.655631696,0.0,0.0
1784885673741621003,1784885673744498435,73.681709373,73.655631696,0.0,0.0
1784885673791646790,1784885673798564603,73.681709373,73.655631696,0.0,0.0
1784885673841697906,1784885673848645012,73.681709373,73.655631696,0.0,0.0
1784885673891757836,1784885673902631265,73.681709373,73.655631696,0.0,0.0
1784885673941664028,1784885673945667785,73.681709373,73.655631696,0.0,0.0
1784885673991752491,1784885673995098691,73.681709373,73.655631696,0.0,0.0
1784885674041629325,1784885674047949002,73.681709373,73.655631696,0.0,0.0
1784885674091601908,1784885674093775865,73.681709373,73.655631696,0.0,0.0
1784885674141754707,1784885674152278705,73.681709373,73.657165677,0.0,0.0
1784885674191628618,1784885674195700736,73.681709373,73.655631696,0.0,0.0
1784885674241563058,1784885674254602965,73.681709373,73.655631696,0.0,0.0
1784885674291554582,1784885674296434959,73.681709373,73.655631696,0.0,0.0
1784885674341616171,1784885674345997395,73.681709373,73.655631696,0.0,0.0
1784885674392402011,1784885674400104088,73.681709373,73.655631696,0.0,0.0
1784885674441534526,1784885674443573575,73.683243354,73.655631696,0.0,0.0
1784885674491576358,1784885674503639939,73.681709373,73.655631696,0.0,0.0
1784885674541536239,1784885674545189082,73.681709373,73.655631696,0.0,0.0
1784885674591564925,1784885674594903738,73.681709373,73.655631696,0.0,0.0
1784885674641608998,1784885674648031863,73.681709373,73.655631696,0.0,0.0
1784885674691576415,1784885674693859782,73.681709373,73.655631696,0.0,0.0
1784885674741549516,1784885674751798960,73.681709373,73.655631696,0.0,0.0
1784885674791491547,1784885674796730318,73.681709373,73.655631696,0.0,0.0
1784885674841509161,1784885674843810655,73.681709373,73.655631696,0.0,0.0
1784885674891551345,1784885674897768702,73.681709373,73.655631696,0.0,0.0
1784885674941492228,1784885674945211174,73.681709373,73.655631696,0.0,0.0
1784885674991474143,1784885675000768794,73.681709373,73.655631696,0.0,0.0
1784885675041442013,1784885675044944304,73.681709373,73.655631696,0.0,0.0
1784885675091518684,1784885675103533533,73.681709373,73.655631696,0.0,0.0
1784885675141478983,1784885675145583542,73.681709373,73.655631696,0.0,0.0
1784885675191507013,1784885675193601148,73.681709373,73.654097715,0.0,0.0
1784885675241483106,1784885675249298890,73.681709373,73.655631696,0.0,0.0
1784885675292187875,1784885675294519255,73.683243354,73.655631696,0.0,0.0
1784885675341399760,1784885675352555746,73.681709373,73.655631696,0.0,0.0
1784885675391583231,1784885675393839584,73.681709373,73.655631696,0.0,0.0
1784885675441450395,1784885675444120764,73.681709373,73.655631696,0.0,0.0
1784885675491582151,1784885675497436041,73.681709373,73.655631696,0.0,0.0
1784885675541452370,1784885675546934775,73.681709373,73.655631696,0.0,0.0
1784885675591400170,1784885675601467845,73.681709373,73.655631696,0.0,0.0
1784885675641453234,1784885675645405518,73.681709373,73.655631696,0.0,0.0
1784885675691508853,1784885675705047398,73.681709373,73.655631696,0.0,0.0
1784885675741414344,1784885675746637082,73.681709373,73.655631696,0.0,0.0
1784885675791397233,1784885675794389687,73.681709373,73.655631696,0.0,0.0
1784885675841342663,1784885675850041806,73.681709373,73.655631696,0.0,0.0
1784885675891365509,1784885675896484224,73.681709373,73.655631696,0.0,0.0
1784885675941381041,1784885675952848447,73.681709373,73.655631696,0.0,0.0
1784885675991432179,1784885675994126434,73.681709373,73.655631696,0.0,0.0
1784885676041310478,1784885676045253801,73.683243354,73.655631696,0.0,0.0
1784885676091353035,1784885676099263678,73.681709373,73.655631696,0.0,0.0
1784885676141365281,1784885676145075100,73.683243354,73.657165677,0.0,0.0
1784885676191369288,1784885676200543423,73.681709373,73.655631696,0.0,0.0
1784885676241341744,1784885676244940207,73.681709373,73.655631696,0.0,0.0
1784885676291343603,1784885676293528207,73.681709373,73.655631696,0.06172664077626298,0.06410074234458078
1784885676341273286,1784885676346297108,73.796757948,73.775282214,0.17410078167663917,0.17172668010832134
1784885676391612247,1784885676394615478,74.125029882,74.105088129,0.19546769579149942,0.19388496141262088
1784885676441325608,1784885676449893901,74.370466842,74.355127032,0.19784179735981722,0.1986331645492565
1784885676491553547,1784885676496634953,74.740156263,74.732486358,0.19942453173869576,0.20021589892813504
1784885676541268075,1784885676553433591,74.988661185,74.98099128,0.1986331645492565,0.20021589892813504
1784885676591254325,1784885676595792955,75.359884587,75.355282644,0.19705043017037796,0.1986331645492565
1784885676641242112,1784885676646671044,75.608389509,75.611457471,0.19784179735981722,0.1986331645492565
1784885676691249044,1784885676697575018,75.858428412,75.858428412,0.19942453173869576,0.1986331645492565
1784885676741297841,1784885676744107118,76.234253757,76.240389681,0.20021589892813504,0.20021589892813504
1784885676791258058,1784885676801603104,76.485826641,76.490428584,0.2010072661175743,0.19942453173869576
1784885676841225069,1784885676846265555,76.861651986,76.864719948,0.19784179735981722,0.19942453173869576
1784885676891248851,1784885676893194859,77.105554965,77.116292832,0.20021589892813504,0.20021589892813504
1784885676941291464,1784885676946122516,77.357127849,77.366331735,0.19942453173869576,0.2010072661175743
1784885676991226073,1784885676994990624,77.731419213,77.740623099,0.19784179735981722,0.20021589892813504
1784885677041222255,1784885677049911606,77.984526078,77.989128021,0.19705043017037796,0.1986331645492565
1784885677091185592,1784885677093532193,78.360351423,78.361885404,0.19784179735981722,0.19705043017037796
1784885677141173055,1784885677152908614,78.611924307,78.605788383,0.1986331645492565,0.1986331645492565
1784885677191162092,1784885677197047222,78.992351595,78.980079747,0.2010072661175743,0.19942453173869576
1784885677241164535,1784885677244858875,79.250060403,79.228584669,0.1986331645492565,0.19705043017037796
1784885677291173422,1784885677297516839,79.500099306,79.47555561,0.19942453173869576,0.19705043017037796
1784885677341228339,1784885677344591984,79.875924651,79.851380955,0.2010072661175743,0.19942453173869576
1784885677391125389,1784885677401633914,80.125963554,80.102953839,0.2010072661175743,0.2010072661175743
1784885677441135553,1784885677443989213,80.498720937,80.480313165,0.20021589892813504,0.19784179735981722
1784885677491139088,1784885677494376417,80.747225859,80.730352068,0.19784179735981722,0.19942453173869576
1784885677541185784,1784885677547952291,80.992662819,80.980390971,0.19705043017037796,0.20021589892813504
1784885677591136678,1784885677595185932,81.360818259,81.359284278,0.1986331645492565,0.19942453173869576
1784885677641090239,1784885677649890631,81.610857162,81.60932318100001,0.1986331645492565,0.19942453173869576
1784885677691793048,1784885677696198993,81.983614545,81.985148526,0.19705043017037796,0.19784179735981722
1784885677741128342,1784885677755423603,82.230585486,82.235187429,0.1986331645492565,0.19784179735981722
1784885677791108177,1784885677796337434,82.60487685,82.612546755,0.19942453173869576,0.20021589892813504
1784885677841060053,1784885677845123675,82.856449734,82.861051677,0.19942453173869576,0.19942453173869576
1784885677891067976,1784885677897567743,83.109556599,83.115692523,0.19942453173869576,0.20021589892813504
1784885677941099193,1784885677943966444,83.48231398200001,83.49458583,0.19784179735981722,0.1986331645492565
1784885677991097229,1784885678001895363,83.730818904,83.74002279,0.19705043017037796,0.19784179735981722
1784885678041050853,1784885678043861205,84.106644249,84.11584813500001,0.19942453173869576,0.2010072661175743
1784885678091050157,1784885678093901596,84.358217133,84.362819076,0.1962590629809387,0.19784179735981722
1784885678141131173,1784885678147902088,84.608256036,84.609790017,0.19705043017037796,0.19705043017037796
1784885678191379110,1784885678194592129,84.987149343,84.977945457,0.19942453173869576,0.1986331645492565
1784885678241088400,1784885678250777207,85.241790189,85.22798436000001,0.2010072661175743,0.19942453173869576
1784885678291004327,1784885678296017226,85.620683496,85.600741743,0.19942453173869576,0.19784179735981722
1784885678340995096,1784885678353183391,85.873790361,85.850780646,0.20021589892813504,0.1986331645492565
1784885678390979236,1784885678394620603,86.248081725,86.226605991,0.19942453173869576,0.19784179735981722
